"Test Name","Test Mode","Test Type","Control","Test Speed 1","Test Speed 2","Test Speed 3","Change Point 1","Change Point 2","Disp. Origin","Break and Limit Action","Sensitivity:","Level:"
"","Single","Tensile","Stroke",3,1,1,"Off","Off","Start","Stop",0,1

"Title","Sub title","Comment"
"","",""

"Shape:","Batch Size:","SubBatch Size:"
"Plate",1,1
"Name:","Thickness","Width","Gauge Length",
"Size Unit:","mm","mm","mm",
" 1 - 1","1.0000","1.0000","100.0000",

"Name",
"Parameter",
"Units",
" 1 - 1",

" 1- 1"
"Time","Force","Stroke",
"sec","N","mm",
"0.00",.001,0,
"0.05",.001,.002,
"0.10",0,4.666667E-03,
"0.15",0,7.666667E-03,
"0.20",.001,1.033333E-02,
"0.25",.002,1.333333E-02,
"0.30",.004,.016,
"0.35",.006,1.866667E-02,
"0.40",.007,2.166667E-02,
"0.45",.009,2.433333E-02,
"0.50",.012,2.733333E-02,
"0.55",.015,.03,
"0.60",.019,3.266667E-02,
"0.65",.022,3.566667E-02,
"0.70",.024,3.833333E-02,
"0.75",.025,4.133333E-02,
"0.80",.028,.044,
"0.85",.03,4.666667E-02,
"0.90",.032,4.966667E-02,
"0.95",.035,5.233333E-02,
"1.00",.038,.055,
"1.05",.04,.058,
"1.10",.041,6.066667E-02,
"1.15",.043,6.366666E-02,
"1.20",.046,6.633333E-02,
"1.25",.048,.069,
"1.30",.052,.072,
"1.35",.055,7.466666E-02,
"1.40",.057,7.766667E-02,
"1.45",.059,8.033333E-02,
"1.50",.06,8.333334E-02,
"1.55",.063,.086,
"1.60",.066,8.866667E-02,
"1.65",.069,9.166667E-02,
"1.70",.071,9.433334E-02,
"1.75",.073,.097,
"1.80",.076,.1,
"1.85",.08,.1026667,
"1.90",.08,.1056667,
"1.95",.082,.1083333,
"2.00",.087,.111,
"2.05",.091,.1136667,
"2.10",.092,.1163333,
"2.15",.095,.119,
"2.20",.098,.1216667,
"2.25",.099,.1243333,
"2.30",.1,.1273333,
"2.35",.103,.13,
"2.40",.107,.1326667,
"2.45",.109,.135,
"2.50",.11,.1376667,
"2.55",.115,.1403333,
"2.60",.116,.143,
"2.65",.117,.1456667,
"2.70",.117,.1483333,
"2.75",.12,.151,
"2.80",.124,.1536667,
"2.85",.128,.156,
"2.90",.13,.1586667,
"2.95",.134,.1613333,
"3.00",.136,.164,
