"Test Name","Test Mode","Test Type","Control","Test Speed 1","Test Speed 2","Test Speed 3","Change Point 1","Change Point 2","Disp. Origin","Break and Limit Action","Sensitivity:","Level:"
"","Single","Tensile","Stroke",3,1,1,"Off","Off","Start","Stop",0,1

"Title","Sub title","Comment"
"","",""

"Shape:","Batch Size:","SubBatch Size:"
"Plate",1,1
"Name:","Thickness","Width","Gauge Length",
"Size Unit:","mm","mm","mm",
" 1 - 1","1.0000","1.0000","100.0000",

"Name",
"Parameter",
"Units",
" 1 - 1",

" 1- 1"
"Time","Force","Stroke",
"sec","N","mm",
"0.00",.001,0,
"0.05",0,2.333333E-03,
"0.10",0,.005,
"0.15",0,.008,
"0.20",0,1.066667E-02,
"0.25",0,1.333333E-02,
"0.30",0,.016,
"0.35",0,.019,
"0.40",0,2.166667E-02,
"0.45",0,2.466667E-02,
"0.50",0,2.733333E-02,
"0.55",.002,3.033333E-02,
"0.60",.004,.033,
"0.65",.003,3.566667E-02,
"0.70",.004,3.866667E-02,
"0.75",.006,4.133333E-02,
"0.80",.007,4.433334E-02,
"0.85",.006,.047,
"0.90",.007,.05,
"0.95",.008,5.266667E-02,
"1.00",.009,5.533333E-02,
"1.05",.009,5.833333E-02,
"1.10",.009,.061,
"1.15",.011,.064,
"1.20",.012,6.666667E-02,
"1.25",.012,6.966667E-02,
"1.30",.013,7.233334E-02,
"1.35",.017,.075,
"1.40",.019,.078,
"1.45",.017,8.066667E-02,
"1.50",.018,8.366667E-02,
"1.55",.021,8.633333E-02,
"1.60",.021,8.933333E-02,
"1.65",.02,.092,
"1.70",.021,.095,
"1.75",.023,9.766667E-02,
"1.80",.024,.1006667,
"1.85",.024,.1033333,
"1.90",.026,.1063333,
"1.95",.028,.109,
"2.00",.029,.1116667,
"2.05",.027,.1143333,
"2.10",.029,.117,
"2.15",.032,.1196667,
"2.20",.032,.1226667,
"2.25",.031,.1253333,
"2.30",.032,.128,
"2.35",.035,.1306667,
"2.40",.037,.133,
"2.45",.035,.136,
"2.50",.037,.1383333,
"2.55",.039,.141,
"2.60",.04,.1436667,
"2.65",.039,.1463333,
"2.70",.04,.149,
"2.75",.042,.1516667,
"2.80",.042,.1543333,
"2.85",.042,.1566667,
"2.90",.042,.1593333,
"2.95",.044,.162,
"3.00",.044,.1646667,
"3.05",.043,.1673333,
