"Test Name","Test Mode","Test Type","Control","Test Speed 1","Test Speed 2","Test Speed 3","Change Point 1","Change Point 2","Disp. Origin","Break and Limit Action","Sensitivity:","Level:"
"","Single","Tensile","Stroke",10,1,1,"Off","Off","Start","Stop",0,1

"Title","Sub title","Comment"
"","",""

"Shape:","Batch Size:","SubBatch Size:"
"Plate",1,1
"Name:","Thickness","Width","Gauge Length",
"Size Unit:","mm","mm","mm",
" 1 - 1","1.0000","1.0000","100.0000",

"Name",
"Parameter",
"Units",
" 1 - 1",

" 1- 1"
"Time","Force","Stroke",
"sec","N","mm",
"0.00",-.001,0,
"0.05",-.001,9.333333E-03,
"0.10",0,1.866667E-02,
"0.15",.002,.028,
"0.20",.004,.037,
"0.25",.01,4.633333E-02,
"0.30",.018,5.566667E-02,
"0.35",.025,6.500001E-02,
"0.40",.032,.074,
"0.45",.04,8.333334E-02,
"0.50",.05,9.266667E-02,
"0.55",.06,.102,
"0.60",.068,.111,
"0.65",.077,.1203333,
"0.70",.085,.1296667,
"0.75",.093,.139,
"0.80",.102,.1483333,
"0.85",.111,.1573333,
"0.90",.119,.1666667,
"0.95",.128,.176,
"1.00",.136,.1853333,
"1.05",.144,.1946667,
"1.10",.155,.2036667,
"1.15",.164,.213,
"1.20",.173,.2223333,
"1.25",.183,.2316667,
"1.30",.191,.241,
"1.35",.199,.25,
"1.40",.208,.2593333,
"1.45",.215,.2686667,
"1.50",.222,.278,
"1.55",.231,.2873333,
"1.60",.239,.2963333,
"1.65",.247,.3056667,
"1.70",.256,.315,
"1.75",.264,.3243333,
"1.80",.271,.3333333,
"1.85",.282,.3426667,
"1.90",.291,.352,
"1.95",.3,.361,
"2.00",.31,.37,
"2.05",.319,.379,
"2.10",.327,.388,
"2.15",.335,.397,
"2.20",.342,.4056667,
"2.25",.348,.4146667,
"2.30",.356,.4236667,
"2.35",.364,.4326667,
"2.40",.372,.4413333,
"2.45",.381,.45,
"2.50",.389,.459,
"2.55",.397,.4676667,
"2.60",.406,.4763333,
"2.65",.412,.4853333,
"2.70",.421,.494,
"2.75",.429,.5026667,
"2.80",.436,.5113333,
"2.85",.444,.52,
"2.90",.451,.5283334,
"2.95",.46,.537,
"3.00",.468,.5456667,
"3.05",.476,.5543333,
"3.10",.484,.563,
"3.15",.491,.5716667,
"3.20",.499,.58,
