"Test Name","Test Mode","Test Type","Control","Test Speed 1","Test Speed 2","Test Speed 3","Change Point 1","Change Point 2","Disp. Origin","Break and Limit Action","Sensitivity:","Level:"
"","Single","Tensile","Stroke",10,1,1,"Off","Off","Start","Stop",0,1

"Title","Sub title","Comment"
"","",""

"Shape:","Batch Size:","SubBatch Size:"
"Plate",1,1
"Name:","Thickness","Width","Gauge Length",
"Size Unit:","mm","mm","mm",
" 1 - 1","1.0000","1.0000","100.0000",

"Name",
"Parameter",
"Units",
" 1 - 1",

" 1- 1"
"Time","Force","Stroke",
"sec","N","mm",
"0.00",0,0,
"0.05",0,9.666667E-03,
"0.10",.001,1.866667E-02,
"0.15",.001,.028,
"0.20",.005,3.733334E-02,
"0.25",.008,4.666667E-02,
"0.30",.012,.056,
"0.35",.016,6.533333E-02,
"0.40",.018,7.433333E-02,
"0.45",.02,8.366667E-02,
"0.50",.022,9.299999E-02,
"0.55",.026,.1023333,
"0.60",.031,.1116667,
"0.65",.035,.121,
"0.70",.039,.1303333,
"0.75",.042,.1393333,
"0.80",.046,.1486667,
"0.85",.05,.158,
"0.90",.053,.1673333,
"0.95",.057,.1766667,
"1.00",.061,.186,
"1.05",.065,.195,
"1.10",.068,.2043333,
"1.15",.072,.2136667,
"1.20",.075,.223,
"1.25",.078,.2323333,
"1.30",.081,.2416667,
"1.35",.084,.2506667,
"1.40",.088,.26,
"1.45",.091,.2693333,
"1.50",.096,.2786667,
"1.55",.102,.288,
"1.60",.106,.297,
"1.65",.111,.306,
"1.70",.113,.315,
"1.75",.116,.324,
"1.80",.119,.333,
"1.85",.122,.342,
"1.90",.125,.351,
"1.95",.129,.36,
"2.00",.134,.3686667,
"2.05",.138,.3776667,
"2.10",.141,.3863333,
"2.15",.145,.395,
"2.20",.149,.4036667,
"2.25",.152,.4126667,
"2.30",.155,.4213333,
"2.35",.159,.43,
"2.40",.162,.4386667,
"2.45",.165,.4473333,
"2.50",.168,.456,
"2.55",.171,.4646667,
"2.60",.174,.4733333,
"2.65",.178,.4816667,
"2.70",.182,.4903333,
"2.75",.186,.499,
"2.80",.189,.5076667,
"2.85",.191,.516,
"2.90",.194,.5246667,
"2.95",.197,.5330001,
"3.00",.201,.5416667,
"3.05",.206,.5503334,
"3.10",.209,.5586667,
"3.15",.213,.5673333,
"3.20",.216,.5756667,
"3.25",.219,.5840001,
"3.30",.222,.5926667,
"3.35",.225,.601,
"3.40",.227,.6096667,
"3.45",.232,.618,
"3.50",.234,.6263334,
"3.55",.238,.6350001,
"3.60",.243,.6433334,
"3.65",.248,.6516667,
"3.70",.249,.66,
"3.75",.252,.6686667,
"3.80",.256,.677,
"3.85",.259,.6853334,
"3.90",.263,.6936667,
"3.95",.267,.7023333,
"4.00",.27,.7106667,
"4.05",.275,.719,
"4.10",.277,.7273334,
"4.15",.28,.7356667,
"4.20",.283,.744,
"4.25",.286,.7523333,
"4.30",.289,.761,
"4.35",.292,.7693334,
"4.40",.296,.7776667,
"4.45",.3,.786,
"4.50",.303,.7946667,
"4.55",.306,.803,
"4.60",.309,.8113334,
"4.65",.312,.8196667,
"4.70",.316,.828,
"4.75",.319,.8363333,
"4.80",.322,.8446667,
"4.85",.325,.853,
"4.90",.327,.8616667,
"4.95",.33,.8696667,
"5.00",.334,.878,
"5.05",.339,.8866667,
"5.10",.341,.895,
"5.15",.345,.9033334,
"5.20",.349,.9116667,
"5.25",.353,.92,
"5.30",.356,.9283333,
"5.35",.359,.9366667,
"5.40",.362,.9450001,
"5.45",.365,.9533334,
"5.50",.369,.9616667,
"5.55",.373,.97,
"5.60",.376,.9786667,
"5.65",.38,.987,
"5.70",.384,.9953334,
"5.75",.388,1.003667,
"5.80",.391,1.011667,
"5.85",.394,1.02,
"5.90",.395,1.028667,
"5.95",.397,1.037,
"6.00",.4,1.045333,
"6.05",.404,1.053667,
"6.10",.407,1.062,
"6.15",.41,1.070333,
"6.20",.414,1.078333,
"6.25",.419,1.086667,
"6.30",.421,1.095,
"6.35",.426,1.103333,
"6.40",.429,1.111667,
"6.45",.432,1.12,
"6.50",.435,1.128667,
"6.55",.436,1.137,
"6.60",.44,1.145,
"6.65",.443,1.153333,
"6.70",.446,1.161667,
"6.75",.45,1.170333,
"6.80",.454,1.178667,
"6.85",.457,1.186667,
"6.90",.459,1.195333,
"6.95",.463,1.203667,
"7.00",.466,1.212,
"7.05",.469,1.220333,
"7.10",.474,1.228667,
"7.15",.479,1.237,
"7.20",.483,1.245333,
"7.25",.488,1.253667,
"7.30",.491,1.262,
"7.35",.495,1.270333,
"7.40",.498,1.278667,
"7.45",.501,1.287,
"7.50",.505,1.295333,
"7.55",.508,1.303667,
"7.60",.511,1.312,
"7.65",.515,1.320333,
"7.70",.517,1.328667,
"7.75",.52,1.337,
"7.80",.523,1.345333,
"7.85",.526,1.353667,
"7.90",.528,1.362,
"7.95",.532,1.370333,
"8.00",.535,1.378667,
"8.05",.539,1.387,
"8.10",.543,1.395333,
"8.15",.546,1.403667,
"8.20",.548,1.412,
"8.25",.552,1.420333,
"8.30",.555,1.428667,
"8.35",.558,1.437,
"8.40",.562,1.445333,
"8.45",.567,1.453667,
"8.50",.571,1.462,
"8.55",.575,1.470333,
"8.60",.579,1.478667,
"8.65",.582,1.487,
"8.70",.584,1.495333,
"8.75",.587,1.503667,
"8.80",.591,1.512,
"8.85",.593,1.520333,
"8.90",.596,1.528667,
"8.95",.6,1.537,
"9.00",.604,1.545333,
"9.05",.607,1.553667,
"9.10",.61,1.562,
"9.15",.612,1.570333,
"9.20",.615,1.578667,
"9.25",.619,1.587,
"9.30",.623,1.595333,
"9.35",.627,1.603667,
"9.40",.63,1.612,
"9.45",.634,1.620333,
"9.50",.637,1.628667,
"9.55",.641,1.637,
"9.60",.645,1.645333,
"9.65",.649,1.653667,
"9.70",.652,1.662,
"9.75",.655,1.670333,
"9.80",.659,1.678667,
"9.85",.664,1.687,
"9.90",.667,1.695333,
"9.95",.671,1.703667,
"10.00",.674,1.712333,
"10.05",.677,1.720667,
"10.10",.679,1.728667,
"10.15",.682,1.737,
"10.20",.685,1.745333,
"10.25",.689,1.753667,
"10.30",.693,1.762,
"10.35",.696,1.770333,
"10.40",.7,1.778667,
"10.45",.703,1.787,
"10.50",.707,1.795333,
"10.55",.71,1.803667,
"10.60",.714,1.812333,
"10.65",.718,1.820333,
"10.70",.721,1.829,
"10.75",.725,1.837,
"10.80",.728,1.845333,
"10.85",.732,1.854,
"10.90",.735,1.862333,
"10.95",.738,1.870667,
"11.00",.741,1.879,
"11.05",.745,1.887333,
"11.10",.747,1.895667,
"11.15",.751,1.904,
"11.20",.755,1.912333,
"11.25",.759,1.920667,
"11.30",.761,1.929,
"11.35",.764,1.937333,
"11.40",.769,1.945667,
"11.45",.774,1.954,
"11.50",.777,1.962333,
"11.55",.781,1.970667,
"11.60",.786,1.979,
"11.65",.79,1.987,
"11.70",.793,1.995667,
"11.75",.797,2.003667,
"11.80",.799,2.012,
"11.85",.802,2.020333,
"11.90",.804,2.028667,
"11.95",.808,2.037333,
"12.00",.811,2.045333,
"12.05",.816,2.053667,
"12.10",.821,2.062,
"12.15",.824,2.070667,
"12.20",.828,2.078667,
"12.25",.832,2.087,
"12.30",.835,2.095333,
"12.35",.839,2.103667,
"12.40",.843,2.112,
"12.45",.847,2.120333,
"12.50",.85,2.128667,
"12.55",.853,2.137,
"12.60",.856,2.145333,
"12.65",.859,2.153667,
"12.70",.862,2.162,
"12.75",.866,2.170333,
"12.80",.869,2.179,
"12.85",.873,2.187,
"12.90",.878,2.195333,
"12.95",.882,2.203667,
"13.00",.886,2.212,
"13.05",.891,2.220333,
"13.10",.894,2.228667,
"13.15",.898,2.237333,
"13.20",.902,2.245333,
"13.25",.905,2.253667,
"13.30",.909,2.262,
"13.35",.912,2.270333,
"13.40",.914,2.278667,
"13.45",.918,2.287,
"13.50",.922,2.295333,
"13.55",.926,2.303667,
"13.60",.931,2.312,
"13.65",.934,2.320333,
"13.70",.938,2.328667,
"13.75",.942,2.337,
"13.80",.946,2.345333,
"13.85",.95,2.353667,
"13.90",.952,2.362,
"13.95",.954,2.370333,
"14.00",.958,2.378667,
"14.05",.962,2.387,
"14.10",.967,2.395333,
"14.15",.972,2.403667,
"14.20",.976,2.412,
"14.25",.979,2.420333,
"14.30",.982,2.428667,
"14.35",.986,2.437,
"14.40",.989,2.445333,
"14.45",.992,2.454,
"14.50",.996,2.462333,
"14.55",1,2.470333,
"14.60",1.005,2.478667,
"14.65",1.01,2.487,
"14.70",1.014,2.495333,
"14.75",1.018,2.503667,
"14.80",1.022,2.512,
"14.85",1.025,2.520333,
"14.90",1.029,2.528667,
"14.95",1.031,2.537,
"15.00",1.035,2.545333,
"15.05",1.039,2.553667,
"15.10",1.043,2.562,
"15.15",1.048,2.570333,
"15.20",1.051,2.578667,
"15.25",1.056,2.587,
"15.30",1.06,2.595333,
"15.35",1.065,2.603667,
"15.40",1.07,2.612,
"15.45",1.074,2.620333,
"15.50",1.077,2.628667,
"15.55",1.08,2.637,
"15.60",1.083,2.645333,
"15.65",1.087,2.653667,
"15.70",1.091,2.662,
"15.75",1.096,2.670333,
"15.80",1.101,2.678667,
"15.85",1.105,2.687,
"15.90",1.108,2.695333,
"15.95",1.112,2.703667,
"16.00",1.116,2.712,
"16.05",1.12,2.720333,
"16.10",1.124,2.728667,
"16.15",1.127,2.737,
"16.20",1.131,2.745333,
"16.25",1.134,2.753667,
"16.30",1.138,2.762,
"16.35",1.142,2.770333,
"16.40",1.146,2.778667,
"16.45",1.151,2.787,
"16.50",1.155,2.795333,
"16.55",1.159,2.803667,
"16.60",1.163,2.812,
"16.65",1.167,2.820333,
"16.70",1.171,2.828667,
"16.75",1.175,2.837,
"16.80",1.179,2.845333,
"16.85",1.183,2.853667,
"16.90",1.187,2.862,
"16.95",1.191,2.870333,
"17.00",1.193,2.878667,
"17.05",1.197,2.887,
"17.10",1.201,2.895333,
"17.15",1.206,2.903667,
"17.20",1.211,2.912,
"17.25",1.215,2.920333,
"17.30",1.221,2.928667,
"17.35",1.225,2.937,
"17.40",1.229,2.945333,
"17.45",1.234,2.953667,
"17.50",1.236,2.962,
"17.55",1.24,2.970333,
"17.60",1.244,2.978667,
"17.65",1.248,2.987,
"17.70",1.252,2.995333,
"17.75",1.256,3.003667,
"17.80",1.26,3.012,
"17.85",1.265,3.020333,
"17.90",1.269,3.028667,
"17.95",1.274,3.037,
"18.00",1.278,3.045333,
"18.05",1.282,3.053667,
"18.10",1.285,3.062,
"18.15",1.289,3.070333,
"18.20",1.293,3.078667,
"18.25",1.298,3.087,
"18.30",1.302,3.095333,
"18.35",1.308,3.103667,
"18.40",1.312,3.112,
"18.45",1.316,3.120333,
"18.50",1.321,3.128667,
"18.55",1.324,3.137,
"18.60",1.328,3.145333,
"18.65",1.333,3.153667,
"18.70",1.336,3.162,
"18.75",1.34,3.170333,
"18.80",1.345,3.178667,
"18.85",1.349,3.187,
"18.90",1.353,3.195333,
"18.95",1.358,3.203667,
"19.00",1.362,3.212,
"19.05",1.366,3.220333,
"19.10",1.37,3.228667,
"19.15",1.375,3.237,
"19.20",1.38,3.245333,
"19.25",1.385,3.253667,
"19.30",1.39,3.262,
"19.35",1.394,3.270333,
"19.40",1.398,3.278667,
"19.45",1.403,3.287,
"19.50",1.408,3.295333,
"19.55",1.412,3.303667,
"19.60",1.417,3.312,
"19.65",1.421,3.320333,
"19.70",1.425,3.328667,
"19.75",1.429,3.337,
"19.80",1.434,3.345333,
"19.85",1.439,3.353667,
"19.90",1.443,3.362,
"19.95",1.447,3.370333,
"20.00",1.451,3.378667,
"20.05",1.456,3.387,
"20.10",1.46,3.395333,
"20.15",1.465,3.403667,
"20.20",1.47,3.412,
"20.25",1.475,3.420333,
"20.30",1.479,3.428667,
"20.35",1.484,3.437,
"20.40",1.488,3.445333,
"20.45",1.493,3.453667,
"20.50",1.497,3.462,
"20.55",1.502,3.470333,
"20.60",1.506,3.478667,
"20.65",1.511,3.487,
"20.70",1.515,3.495,
"20.75",1.52,3.503333,
"20.80",1.525,3.512,
"20.85",1.529,3.52,
"20.90",1.533,3.528667,
"20.95",1.537,3.537,
"21.00",1.542,3.545333,
"21.05",1.547,3.553667,
"21.10",1.552,3.562,
"21.15",1.556,3.570333,
"21.20",1.561,3.578667,
"21.25",1.565,3.587,
"21.30",1.57,3.595333,
"21.35",1.575,3.603667,
"21.40",1.579,3.612,
"21.45",1.585,3.620333,
"21.50",1.59,3.628667,
"21.55",1.595,3.637,
"21.60",1.6,3.645333,
"21.65",1.605,3.653667,
"21.70",1.61,3.662,
"21.75",1.615,3.670333,
"21.80",1.619,3.678667,
"21.85",1.624,3.687,
"21.90",1.629,3.695333,
"21.95",1.633,3.703667,
"22.00",1.639,3.712,
"22.05",1.644,3.720333,
"22.10",1.648,3.728667,
"22.15",1.654,3.737,
"22.20",1.659,3.745333,
"22.25",1.665,3.753667,
"22.30",1.67,3.762,
"22.35",1.675,3.770333,
"22.40",1.679,3.778667,
"22.45",1.684,3.787,
"22.50",1.691,3.795333,
"22.55",1.695,3.803667,
"22.60",1.701,3.812,
"22.65",1.706,3.820333,
"22.70",1.71,3.828667,
"22.75",1.714,3.837,
"22.80",1.719,3.845333,
"22.85",1.724,3.853667,
"22.90",1.728,3.862,
"22.95",1.733,3.870333,
"23.00",1.738,3.878667,
"23.05",1.744,3.887,
"23.10",1.75,3.895333,
"23.15",1.755,3.903667,
"23.20",1.761,3.912,
"23.25",1.766,3.920333,
"23.30",1.771,3.928667,
"23.35",1.776,3.937,
"23.40",1.781,3.945333,
"23.45",1.786,3.953667,
"23.50",1.791,3.962,
"23.55",1.797,3.970333,
"23.60",1.802,3.978667,
"23.65",1.808,3.987,
"23.70",1.812,3.995333,
"23.75",1.817,4.003666,
"23.80",1.82,4.012,
"23.85",1.825,4.020333,
"23.90",1.83,4.028666,
"23.95",1.837,4.037,
"24.00",1.842,4.045333,
"24.05",1.848,4.053667,
"24.10",1.853,4.062,
"24.15",1.857,4.070333,
"24.20",1.862,4.078667,
"24.25",1.867,4.087,
"24.30",1.874,4.095333,
"24.35",1.88,4.103666,
"24.40",1.887,4.112,
"24.45",1.892,4.120333,
"24.50",1.897,4.128666,
"24.55",1.902,4.137,
"24.60",1.907,4.145333,
"24.65",1.912,4.153666,
"24.70",1.917,4.162,
"24.75",1.922,4.170333,
"24.80",1.926,4.178667,
"24.85",1.931,4.187,
"24.90",1.936,4.195333,
"24.95",1.942,4.203667,
"25.00",1.948,4.212,
"25.05",1.955,4.220333,
"25.10",1.961,4.228666,
"25.15",1.967,4.237333,
"25.20",1.973,4.245333,
"25.25",1.977,4.253666,
"25.30",1.981,4.262,
"25.35",1.986,4.270333,
"25.40",1.992,4.278666,
"25.45",1.998,4.287,
"25.50",2.005,4.295333,
"25.55",2.01,4.303667,
"25.60",2.015,4.312,
"25.65",2.021,4.320333,
"25.70",2.026,4.328667,
"25.75",2.031,4.337,
"25.80",2.037,4.345333,
"25.85",2.042,4.353666,
"25.90",2.048,4.362,
"25.95",2.055,4.370333,
"26.00",2.059,4.378666,
"26.05",2.066,4.387,
"26.10",2.072,4.395333,
"26.15",2.078,4.403666,
"26.20",2.084,4.412,
"26.25",2.089,4.420333,
"26.30",2.095,4.428667,
"26.35",2.101,4.437,
"26.40",2.106,4.445333,
"26.45",2.112,4.453667,
"26.50",2.117,4.462,
"26.55",2.122,4.470333,
"26.60",2.129,4.478666,
"26.65",2.134,4.487,
"26.70",2.14,4.495333,
"26.75",2.145,4.503666,
"26.80",2.15,4.512,
"26.85",2.156,4.520333,
"26.90",2.162,4.528666,
"26.95",2.167,4.537,
"27.00",2.173,4.545333,
"27.05",2.18,4.553667,
"27.10",2.186,4.562,
"27.15",2.193,4.570666,
"27.20",2.2,4.578667,
"27.25",2.206,4.587,
"27.30",2.212,4.595333,
"27.35",2.218,4.603666,
"27.40",2.224,4.612,
"27.45",2.229,4.620333,
"27.50",2.235,4.628666,
"27.55",2.24,4.637,
"27.60",2.245,4.645333,
"27.65",2.251,4.653666,
"27.70",2.257,4.662,
"27.75",2.263,4.670333,
