"Test Name","Test Mode","Test Type","Control","Test Speed 1","Test Speed 2","Test Speed 3","Change Point 1","Change Point 2","Disp. Origin","Break and Limit Action","Sensitivity:","Level:"
"","Single","Tensile","Stroke",10,1,1,"Off","Off","Start","Stop",0,1

"Title","Sub title","Comment"
"","",""

"Shape:","Batch Size:","SubBatch Size:"
"Plate",1,1
"Name:","Thickness","Width","Gauge Length",
"Size Unit:","mm","mm","mm",
" 1 - 1","1.0000","1.0000","100.0000",

"Name",
"Parameter",
"Units",
" 1 - 1",

" 1- 1"
"Time","Force","Stroke",
"sec","N","mm",
"0.00",.001,0,
"0.05",.002,9.666667E-03,
"0.10",.003,.019,
"0.15",.004,2.833333E-02,
"0.20",.005,3.733333E-02,
"0.25",.008,4.666667E-02,
"0.30",.011,.056,
"0.35",.016,6.533333E-02,
"0.40",.02,7.466666E-02,
"0.45",.024,.084,
"0.50",.026,9.299999E-02,
"0.55",.03,.1023333,
"0.60",.033,.1116667,
"0.65",.037,.121,
"0.70",.041,.1303333,
"0.75",.043,.1396667,
"0.80",.045,.1486667,
"0.85",.048,.158,
"0.90",.052,.1673333,
"0.95",.056,.1766667,
"1.00",.061,.186,
"1.05",.064,.195,
"1.10",.068,.2043333,
"1.15",.07,.2136667,
"1.20",.072,.223,
"1.25",.076,.2323333,
"1.30",.08,.2413333,
"1.35",.084,.2506667,
"1.40",.087,.26,
"1.45",.092,.2693333,
"1.50",.096,.2786667,
"1.55",.099,.288,
"1.60",.101,.297,
"1.65",.105,.3063333,
"1.70",.108,.3156667,
"1.75",.112,.325,
"1.80",.116,.334,
"1.85",.119,.3433333,
"1.90",.122,.3526667,
"1.95",.124,.362,
"2.00",.127,.371,
"2.05",.129,.38,
"2.10",.131,.389,
"2.15",.135,.398,
"2.20",.138,.4066667,
"2.25",.143,.4156667,
"2.30",.147,.4246667,
"2.35",.15,.4336667,
"2.40",.153,.4423333,
"2.45",.156,.451,
"2.50",.159,.46,
"2.55",.163,.4686667,
"2.60",.167,.4773333,
"2.65",.17,.486,
"2.70",.173,.4946667,
"2.75",.175,.5033333,
"2.80",.177,.512,
"2.85",.181,.5206667,
"2.90",.185,.5293334,
"2.95",.187,.538,
"3.00",.192,.5466667,
"3.05",.195,.555,
"3.10",.199,.5636666,
"3.15",.202,.5723333,
"3.20",.205,.581,
