"Test Name","Test Mode","Test Type","Control","Test Speed 1","Test Speed 2","Test Speed 3","Change Point 1","Change Point 2","Disp. Origin","Break and Limit Action","Sensitivity:","Level:"
"","Single","Tensile","Stroke",10,1,1,"Off","Off","Start","Stop",0,1

"Title","Sub title","Comment"
"","",""

"Shape:","Batch Size:","SubBatch Size:"
"Plate",1,1
"Name:","Thickness","Width","Gauge Length",
"Size Unit:","mm","mm","mm",
" 1 - 1","1.0000","1.0000","100.0000",

"Name",
"Parameter",
"Units",
" 1 - 1",

" 1- 1"
"Time","Force","Stroke",
"sec","N","mm",
"0.00",.006,0,
"0.05",.005,.009,
"0.10",.003,1.833333E-02,
"0.15",.003,2.733333E-02,
"0.20",.006,3.666667E-02,
"0.25",.008,.046,
"0.30",.009,.055,
"0.35",.013,6.433333E-02,
"0.40",.017,7.366667E-02,
"0.45",.023,8.266667E-02,
"0.50",.025,.092,
"0.55",.028,.101,
"0.60",.034,.1103333,
"0.65",.039,.1196667,
"0.70",.041,.1286667,
"0.75",.046,.138,
"0.80",.05,.1473333,
"0.85",.054,.1563333,
"0.90",.056,.1656667,
"0.95",.061,.175,
"1.00",.066,.184,
"1.05",.07,.1933333,
"1.10",.073,.2026667,
"1.15",.077,.2116667,
"1.20",.081,.221,
"1.25",.086,.23,
"1.30",.089,.2393333,
"1.35",.093,.2483333,
"1.40",.095,.2576667,
"1.45",.099,.267,
"1.50",.104,.276,
"1.55",.107,.2853333,
"1.60",.113,.2943333,
"1.65",.117,.3036667,
"1.70",.118,.313,
"1.75",.122,.3223333,
"1.80",.125,.3313333,
"1.85",.129,.3406667,
"1.90",.131,.3496667,
"1.95",.137,.359,
"2.00",.141,.368,
"2.05",.146,.377,
"2.10",.149,.386,
"2.15",.152,.395,
"2.20",.156,.404,
"2.25",.161,.4126667,
"2.30",.162,.4216667,
"2.35",.167,.4306667,
"2.40",.171,.4393333,
"2.45",.175,.448,
"2.50",.177,.4566667,
"2.55",.182,.4656667,
"2.60",.185,.4743333,
"2.65",.189,.483,
"2.70",.192,.4916667,
"2.75",.194,.5003333,
"2.80",.198,.509,
"2.85",.202,.5176666,
"2.90",.203,.5263333,
"2.95",.206,.535,
"3.00",.21,.5433334,
"3.05",.215,.552,
"3.10",.217,.5606667,
"3.15",.221,.5693333,
"3.20",.224,.578,
"3.25",.228,.5863333,
"3.30",.229,.5946667,
"3.35",.233,.6033334,
"3.40",.238,.612,
"3.45",.242,.6203333,
"3.50",.245,.6286666,
"3.55",.247,.6373333,
"3.60",.251,.646,
"3.65",.255,.6543334,
"3.70",.257,.6626667,
"3.75",.261,.6713333,
"3.80",.265,.6796666,
"3.85",.269,.688,
"3.90",.27,.6966667,
"3.95",.274,.705,
"4.00",.279,.7133333,
"4.05",.284,.722,
"4.10",.284,.7303333,
"4.15",.287,.7386667,
"4.20",.292,.7473333,
"4.25",.296,.7556667,
"4.30",.297,.764,
"4.35",.3,.7723333,
"4.40",.303,.7806666,
"4.45",.307,.789,
"4.50",.309,.7976667,
"4.55",.313,.806,
"4.60",.317,.8143333,
"4.65",.321,.8226666,
"4.70",.323,.831,
"4.75",.326,.8393334,
"4.80",.332,.8476667,
"4.85",.337,.8563333,
"4.90",.337,.8646666,
"4.95",.339,.873,
"5.00",.345,.8813334,
"5.05",.348,.8896667,
"5.10",.35,.898,
"5.15",.353,.9063333,
"5.20",.356,.915,
"5.25",.36,.923,
"5.30",.362,.9316667,
"5.35",.366,.94,
"5.40",.371,.9483333,
"5.45",.375,.9566666,
"5.50",.375,.9646667,
"5.55",.378,.9733334,
"5.60",.383,.9816667,
"5.65",.386,.99,
"5.70",.388,.9983333,
"5.75",.392,1.006667,
"5.80",.395,1.015,
"5.85",.398,1.023333,
"5.90",.4,1.031667,
"5.95",.404,1.04,
"6.00",.408,1.048333,
"6.05",.412,1.056667,
"6.10",.414,1.065,
"6.15",.417,1.073333,
"6.20",.42,1.081667,
"6.25",.424,1.09,
"6.30",.426,1.098333,
"6.35",.431,1.106667,
"6.40",.434,1.115,
