"Test Name","Test Mode","Test Type","Control","Test Speed 1","Test Speed 2","Test Speed 3","Change Point 1","Change Point 2","Disp. Origin","Break and Limit Action","Sensitivity:","Level:"
"","Single","Tensile","Stroke",10,1,1,"Off","Off","Start","Stop",0,1

"Title","Sub title","Comment"
"","",""

"Shape:","Batch Size:","SubBatch Size:"
"Plate",1,1
"Name:","Thickness","Width","Gauge Length",
"Size Unit:","mm","mm","mm",
" 1 - 1","1.0000","1.0000","100.0000",

"Name",
"Parameter",
"Units",
" 1 - 1",

" 1- 1"
"Time","Force","Stroke",
"sec","N","mm",
"0.00",0,0,
"0.05",-.001,9.333333E-03,
"0.10",-.001,1.866667E-02,
"0.15",0,.028,
"0.20",.004,3.733334E-02,
"0.25",.006,4.666667E-02,
"0.30",.014,5.566667E-02,
"0.35",.022,6.500001E-02,
"0.40",.029,7.433333E-02,
"0.45",.036,8.366667E-02,
"0.50",.042,.093,
"0.55",.05,.1023333,
"0.60",.058,.1116667,
"0.65",.068,.1206667,
"0.70",.077,.13,
"0.75",.085,.1393333,
"0.80",.092,.1486667,
"0.85",.1,.158,
"0.90",.109,.1673333,
"0.95",.117,.1766667,
"1.00",.126,.186,
"1.05",.136,.195,
"1.10",.144,.2046667,
"1.15",.152,.214,
"1.20",.162,.223,
"1.25",.17,.2323333,
"1.30",.178,.2416667,
"1.35",.187,.251,
"1.40",.194,.2603333,
"1.45",.201,.2696667,
"1.50",.21,.2786667,
"1.55",.218,.288,
"1.60",.226,.2973333,
"1.65",.235,.3066667,
"1.70",.244,.316,
"1.75",.253,.3253333,
"1.80",.261,.3346667,
"1.85",.269,.344,
"1.90",.277,.353,
"1.95",.286,.3623333,
"2.00",.294,.3716667,
"2.05",.303,.3806667,
"2.10",.311,.3896667,
"2.15",.319,.3986667,
"2.20",.328,.4076667,
"2.25",.336,.4166667,
"2.30",.346,.4253333,
"2.35",.354,.4343333,
"2.40",.361,.4433333,
"2.45",.37,.452,
"2.50",.378,.461,
"2.55",.385,.4696667,
"2.60",.395,.4783333,
"2.65",.402,.4873333,
"2.70",.409,.496,
"2.75",.418,.5046667,
"2.80",.425,.5133333,
"2.85",.434,.522,
"2.90",.442,.5306666,
"2.95",.449,.5393333,
"3.00",.457,.548,
"3.05",.464,.5566667,
"3.10",.473,.5653333,
"3.15",.48,.5736667,
"3.20",.487,.5823333,
"3.25",.495,.5906667,
"3.30",.501,.5993333,
"3.35",.509,.608,
"3.40",.517,.6163333,
"3.45",.526,.625,
"3.50",.534,.6336667,
"3.55",.541,.642,
"3.60",.548,.6503333,
"3.65",.555,.659,
"3.70",.562,.6673334,
"3.75",.571,.6756667,
"3.80",.578,.6843333,
"3.85",.585,.6926666,
"3.90",.593,.7013333,
"3.95",.6,.7096667,
"4.00",.607,.718,
"4.05",.614,.7263333,
"4.10",.621,.735,
"4.15",.628,.7433333,
"4.20",.635,.7516667,
"4.25",.644,.7603334,
"4.30",.652,.7686667,
"4.35",.66,.777,
"4.40",.668,.7853333,
"4.45",.676,.7936667,
"4.50",.682,.8023334,
"4.55",.688,.8106667,
"4.60",.695,.819,
"4.65",.701,.8273333,
"4.70",.708,.8356667,
"4.75",.714,.8443334,
"4.80",.721,.8526667,
"4.85",.728,.861,
"4.90",.735,.8693333,
"4.95",.744,.8776667,
"5.00",.752,.886,
"5.05",.759,.8943334,
"5.10",.766,.9026667,
"5.15",.772,.911,
"5.20",.78,.9193333,
"5.25",.788,.9276667,
"5.30",.794,.936,
"5.35",.801,.9443333,
"5.40",.808,.9526666,
"5.45",.813,.9613333,
"5.50",.821,.9696667,
"5.55",.828,.978,
"5.60",.835,.9863333,
"5.65",.842,.9946667,
"5.70",.85,1.003,
"5.75",.858,1.011333,
"5.80",.865,1.019667,
"5.85",.871,1.028,
"5.90",.878,1.036333,
"5.95",.884,1.044667,
"6.00",.891,1.053,
"6.05",.898,1.061333,
"6.10",.905,1.069667,
"6.15",.91,1.078,
"6.20",.918,1.086667,
"6.25",.926,1.094667,
"6.30",.933,1.103,
"6.35",.941,1.111667,
"6.40",.946,1.119667,
"6.45",.952,1.128333,
"6.50",.959,1.136667,
"6.55",.965,1.145,
"6.60",.971,1.153333,
"6.65",.979,1.161333,
"6.70",.986,1.169667,
"6.75",.993,1.178333,
"6.80",1,1.186333,
"6.85",1.005,1.194667,
"6.90",1.011,1.203333,
"6.95",1.017,1.211667,
"7.00",1.025,1.22,
"7.05",1.033,1.228,
"7.10",1.04,1.236667,
"7.15",1.045,1.245,
"7.20",1.052,1.253,
"7.25",1.057,1.261333,
"7.30",1.063,1.27,
"7.35",1.07,1.278,
"7.40",1.077,1.286667,
"7.45",1.083,1.295,
"7.50",1.09,1.303333,
"7.55",1.098,1.311667,
"7.60",1.104,1.319667,
"7.65",1.11,1.328,
"7.70",1.116,1.336333,
"7.75",1.121,1.344667,
"7.80",1.126,1.353,
"7.85",1.133,1.361333,
"7.90",1.139,1.369667,
"7.95",1.145,1.378,
"8.00",1.151,1.386333,
"8.05",1.157,1.394667,
"8.10",1.163,1.403,
"8.15",1.168,1.411333,
"8.20",1.176,1.419667,
"8.25",1.182,1.428,
"8.30",1.188,1.436333,
"8.35",1.195,1.444667,
"8.40",1.2,1.453333,
"8.45",1.207,1.461667,
"8.50",1.213,1.47,
"8.55",1.22,1.478333,
"8.60",1.227,1.486667,
"8.65",1.233,1.495,
"8.70",1.238,1.503333,
"8.75",1.242,1.511667,
"8.80",1.247,1.52,
"8.85",1.252,1.528333,
"8.90",1.258,1.536667,
"8.95",1.265,1.545,
"9.00",1.27,1.553333,
"9.05",1.276,1.561667,
"9.10",1.283,1.57,
"9.15",1.289,1.578333,
"9.20",1.297,1.586667,
"9.25",1.303,1.594667,
"9.30",1.307,1.603333,
"9.35",1.314,1.611333,
"9.40",1.32,1.619667,
"9.45",1.326,1.628,
"9.50",1.332,1.636333,
"9.55",1.336,1.644667,
"9.60",1.341,1.653,
"9.65",1.345,1.661333,
"9.70",1.351,1.669667,
"9.75",1.357,1.678,
"9.80",1.362,1.686333,
"9.85",1.368,1.694667,
"9.90",1.374,1.703,
"9.95",1.38,1.711333,
"10.00",1.384,1.719667,
"10.05",1.389,1.728,
"10.10",1.394,1.736333,
"10.15",1.399,1.744667,
"10.20",1.406,1.753333,
"10.25",1.412,1.761333,
"10.30",1.418,1.769667,
"10.35",1.424,1.778,
"10.40",1.429,1.786667,
"10.45",1.434,1.795,
"10.50",1.438,1.803333,
"10.55",1.443,1.811667,
"10.60",1.449,1.82,
"10.65",1.455,1.828333,
"10.70",1.461,1.836667,
"10.75",1.466,1.845,
"10.80",1.47,1.853333,
"10.85",1.475,1.861667,
"10.90",1.48,1.87,
"10.95",1.486,1.878333,
"11.00",1.492,1.886667,
"11.05",1.496,1.895,
"11.10",1.503,1.903333,
"11.15",1.507,1.911667,
"11.20",1.511,1.92,
"11.25",1.515,1.928333,
"11.30",1.521,1.936667,
"11.35",1.527,1.945,
"11.40",1.534,1.953333,
"11.45",1.54,1.961667,
"11.50",1.545,1.97,
"11.55",1.549,1.978,
"11.60",1.553,1.986333,
"11.65",1.558,1.994667,
"11.70",1.562,2.003333,
"11.75",1.567,2.011667,
"11.80",1.572,2.019666,
"11.85",1.577,2.028,
"11.90",1.582,2.036667,
"11.95",1.587,2.045,
"12.00",1.592,2.053333,
"12.05",1.597,2.061666,
"12.10",1.602,2.07,
"12.15",1.607,2.078333,
"12.20",1.611,2.086667,
"12.25",1.617,2.094666,
"12.30",1.621,2.103,
"12.35",1.625,2.111333,
"12.40",1.63,2.119667,
"12.45",1.635,2.128333,
"12.50",1.641,2.136333,
"12.55",1.646,2.145,
"12.60",1.65,2.153333,
"12.65",1.655,2.161667,
"12.70",1.658,2.17,
"12.75",1.662,2.178333,
"12.80",1.666,2.186666,
"12.85",1.671,2.195,
"12.90",1.676,2.203333,
"12.95",1.682,2.211667,
"13.00",1.687,2.22,
"13.05",1.692,2.228333,
"13.10",1.696,2.236666,
"13.15",1.7,2.245,
"13.20",1.705,2.253333,
"13.25",1.709,2.261667,
"13.30",1.713,2.27,
"13.35",1.717,2.278,
"13.40",1.722,2.286333,
"13.45",1.727,2.294667,
"13.50",1.732,2.303,
"13.55",1.737,2.311333,
"13.60",1.741,2.319667,
"13.65",1.746,2.328,
"13.70",1.749,2.336667,
"13.75",1.753,2.345,
"13.80",1.756,2.353,
"13.85",1.759,2.361333,
"13.90",1.765,2.369667,
"13.95",1.77,2.378333,
"14.00",1.774,2.386333,
"14.05",1.779,2.394666,
"14.10",1.784,2.403333,
"14.15",1.788,2.411667,
"14.20",1.793,2.42,
"14.25",1.797,2.428333,
"14.30",1.801,2.436333,
"14.35",1.805,2.444667,
"14.40",1.809,2.453333,
"14.45",1.814,2.461667,
"14.50",1.819,2.47,
"14.55",1.824,2.478333,
"14.60",1.827,2.486666,
"14.65",1.832,2.495,
"14.70",1.836,2.503333,
"14.75",1.841,2.511667,
"14.80",1.846,2.52,
"14.85",1.85,2.528333,
"14.90",1.854,2.536667,
"14.95",1.857,2.545,
"15.00",1.86,2.553333,
"15.05",1.862,2.561666,
"15.10",1.867,2.57,
"15.15",1.871,2.578333,
"15.20",1.876,2.586667,
"15.25",1.881,2.595,
"15.30",1.884,2.603333,
"15.35",1.889,2.611666,
"15.40",1.892,2.62,
"15.45",1.896,2.628333,
"15.50",1.902,2.637,
"15.55",1.906,2.645,
"15.60",1.908,2.653333,
"15.65",1.912,2.661667,
"15.70",1.916,2.67,
"15.75",1.92,2.678333,
"15.80",1.923,2.686666,
"15.85",1.929,2.695,
"15.90",1.934,2.703666,
"15.95",1.938,2.712,
"16.00",1.942,2.720333,
"16.05",1.946,2.728667,
"16.10",1.949,2.736666,
"16.15",1.953,2.745,
"16.20",1.956,2.753333,
"16.25",1.96,2.761667,
"16.30",1.966,2.77,
"16.35",1.971,2.778333,
"16.40",1.975,2.786667,
"16.45",1.978,2.795333,
"16.50",1.981,2.803333,
"16.55",1.984,2.811666,
"16.60",1.986,2.820333,
"16.65",1.992,2.828333,
"16.70",1.997,2.836667,
"16.75",2.002,2.845,
"16.80",2.006,2.853333,
"16.85",2.009,2.861666,
"16.90",2.012,2.87,
"16.95",2.017,2.878667,
"17.00",2.021,2.887,
"17.05",2.025,2.895333,
"17.10",2.03,2.903666,
"17.15",2.035,2.912,
"17.20",2.039,2.92,
"17.25",2.043,2.928333,
"17.30",2.046,2.936666,
"17.35",2.05,2.945,
"17.40",2.052,2.953333,
"17.45",2.056,2.961667,
"17.50",2.061,2.97,
"17.55",2.066,2.978333,
"17.60",2.069,2.986666,
"17.65",2.072,2.995,
"17.70",2.075,3.003333,
"17.75",2.078,3.011667,
"17.80",2.082,3.02,
"17.85",2.086,3.028333,
"17.90",2.09,3.036667,
"17.95",2.095,3.045,
"18.00",2.099,3.053333,
"18.05",2.104,3.061666,
"18.10",2.108,3.07,
"18.15",2.111,3.078333,
"18.20",2.114,3.086667,
"18.25",2.118,3.095,
"18.30",2.122,3.103333,
"18.35",2.126,3.111666,
"18.40",2.13,3.12,
"18.45",2.133,3.128333,
"18.50",2.135,3.136667,
"18.55",2.139,3.145,
"18.60",2.144,3.153333,
"18.65",2.149,3.161667,
"18.70",2.154,3.17,
"18.75",2.158,3.178333,
"18.80",2.16,3.186666,
"18.85",2.163,3.195,
"18.90",2.166,3.203333,
"18.95",2.171,3.211667,
"19.00",2.175,3.22,
"19.05",2.18,3.228333,
"19.10",2.183,3.236666,
"19.15",2.186,3.245,
"19.20",2.189,3.253333,
"19.25",2.192,3.261667,
"19.30",2.196,3.27,
"19.35",2.2,3.278333,
"19.40",2.203,3.286667,
"19.45",2.208,3.295,
"19.50",2.212,3.303333,
"19.55",2.216,3.311666,
"19.60",2.22,3.32,
"19.65",2.224,3.328333,
"19.70",2.227,3.336667,
"19.75",2.232,3.345,
"19.80",2.235,3.353333,
"19.85",2.239,3.361666,
"19.90",2.243,3.37,
"19.95",2.247,3.378333,
"20.00",2.249,3.386667,
"20.05",2.254,3.395,
"20.10",2.258,3.403333,
"20.15",2.263,3.411667,
"20.20",2.265,3.42,
"20.25",2.269,3.428333,
"20.30",2.273,3.436666,
"20.35",2.277,3.445,
"20.40",2.282,3.453333,
"20.45",2.285,3.461667,
"20.50",2.289,3.47,
"20.55",2.292,3.478333,
"20.60",2.295,3.486666,
"20.65",2.298,3.495,
"20.70",2.302,3.503333,
"20.75",2.306,3.511667,
"20.80",2.31,3.52,
"20.85",2.314,3.528333,
"20.90",2.318,3.536667,
"20.95",2.324,3.545,
"21.00",2.327,3.553333,
"21.05",2.332,3.561666,
"21.10",2.335,3.57,
"21.15",2.34,3.578333,
"21.20",2.342,3.586667,
"21.25",2.346,3.595,
"21.30",2.35,3.603333,
"21.35",2.354,3.611666,
"21.40",2.358,3.62,
"21.45",2.361,3.628333,
"21.50",2.366,3.636667,
"21.55",2.37,3.645,
"21.60",2.373,3.653333,
"21.65",2.376,3.661667,
"21.70",2.378,3.67,
"21.75",2.383,3.678333,
"21.80",2.387,3.686666,
"21.85",2.392,3.695,
"21.90",2.396,3.703333,
"21.95",2.399,3.711667,
"22.00",2.401,3.72,
"22.05",2.405,3.728667,
"22.10",2.41,3.737,
"22.15",2.415,3.745333,
"22.20",2.42,3.753333,
"22.25",2.425,3.762,
"22.30",2.428,3.770333,
"22.35",2.43,3.778333,
"22.40",2.432,3.787,
"22.45",2.435,3.795333,
"22.50",2.44,3.803667,
"22.55",2.445,3.812,
"22.60",2.45,3.820333,
"22.65",2.453,3.828666,
"22.70",2.456,3.837,
"22.75",2.459,3.845333,
"22.80",2.463,3.853667,
"22.85",2.467,3.862,
"22.90",2.471,3.870333,
"22.95",2.477,3.878667,
"23.00",2.481,3.887,
"23.05",2.486,3.895333,
"23.10",2.49,3.903666,
"23.15",2.495,3.912,
"23.20",2.497,3.920333,
"23.25",2.501,3.928667,
"23.30",2.506,3.937,
"23.35",2.51,3.945333,
"23.40",2.515,3.953666,
"23.45",2.52,3.962,
"23.50",2.524,3.970333,
"23.55",2.528,3.978667,
"23.60",2.53,3.987,
"23.65",2.532,3.995333,
"23.70",2.535,4.003667,
"23.75",2.538,4.011667,
"23.80",2.542,4.02,
"23.85",2.547,4.028334,
"23.90",2.552,4.036667,
"23.95",2.557,4.045,
"24.00",2.559,4.053333,
"24.05",2.563,4.061667,
"24.10",2.568,4.070333,
"24.15",2.573,4.078667,
"24.20",2.577,4.087,
"24.25",2.58,4.095,
"24.30",2.582,4.103667,
"24.35",2.586,4.112,
"24.40",2.589,4.12,
"24.45",2.593,4.128667,
"24.50",2.598,4.137,
"24.55",2.602,4.145,
"24.60",2.606,4.153667,
"24.65",2.608,4.161667,
"24.70",2.612,4.17,
"24.75",2.616,4.178333,
"24.80",2.62,4.187,
"24.85",2.624,4.195,
"24.90",2.629,4.203667,
"24.95",2.633,4.212,
"25.00",2.636,4.220334,
"25.05",2.642,4.228667,
"25.10",2.645,4.237,
"25.15",2.649,4.245334,
"25.20",2.654,4.253667,
"25.25",2.657,4.262,
"25.30",2.661,4.270333,
"25.35",2.665,4.278667,
"25.40",2.67,4.287,
"25.45",2.675,4.295333,
"25.50",2.679,4.303667,
"25.55",2.683,4.312,
"25.60",2.685,4.320333,
"25.65",2.689,4.328667,
"25.70",2.693,4.336667,
"25.75",2.698,4.345334,
"25.80",2.701,4.353333,
"25.85",2.704,4.361667,
"25.90",2.707,4.37,
"25.95",2.712,4.378667,
"26.00",2.716,4.387,
"26.05",2.721,4.395,
"26.10",2.725,4.403334,
"26.15",2.73,4.411667,
"26.20",2.733,4.42,
"26.25",2.738,4.428333,
"26.30",2.743,4.436667,
"26.35",2.747,4.445,
"26.40",2.749,4.453333,
"26.45",2.755,4.461667,
"26.50",2.758,4.47,
"26.55",2.763,4.478333,
"26.60",2.767,4.486667,
"26.65",2.77,4.495,
"26.70",2.773,4.503334,
"26.75",2.778,4.511667,
"26.80",2.782,4.52,
"26.85",2.787,4.528334,
"26.90",2.79,4.536667,
"26.95",2.792,4.545,
"27.00",2.796,4.553333,
"27.05",2.8,4.561667,
"27.10",2.805,4.57,
"27.15",2.812,4.578333,
