"Test Name","Test Mode","Test Type","Control","Test Speed 1","Test Speed 2","Test Speed 3","Change Point 1","Change Point 2","Disp. Origin","Break and Limit Action","Sensitivity:","Level:"
"","Single","Tensile","Stroke",10,1,1,"Off","Off","Start","Stop",0,1

"Title","Sub title","Comment"
"","",""

"Shape:","Batch Size:","SubBatch Size:"
"Plate",1,1
"Name:","Thickness","Width","Gauge Length",
"Size Unit:","mm","mm","mm",
" 1 - 1","1.0000","1.0000","100.0000",

"Name",
"Parameter",
"Units",
" 1 - 1",

" 1- 1"
"Time","Force","Stroke",
"sec","N","mm",
"0.00",0,0,
"0.05",0,9.333333E-03,
"0.10",0,1.866667E-02,
"0.15",0,.028,
"0.20",.001,3.733334E-02,
"0.25",.003,4.666667E-02,
"0.30",.006,.056,
"0.35",.009,6.533333E-02,
"0.40",.012,7.466666E-02,
"0.45",.015,8.366667E-02,
"0.50",.018,9.299999E-02,
"0.55",.02,.1023333,
"0.60",.022,.1116667,
"0.65",.025,.121,
"0.70",.027,.1303333,
"0.75",.03,.1393333,
"0.80",.033,.1486667,
"0.85",.038,.158,
"0.90",.042,.1673333,
"0.95",.046,.1766667,
"1.00",.05,.186,
"1.05",.052,.195,
"1.10",.054,.2043333,
"1.15",.056,.2136667,
"1.20",.06,.223,
"1.25",.063,.2323333,
"1.30",.066,.2416667,
"1.35",.069,.251,
"1.40",.072,.2603334,
"1.45",.074,.2693333,
"1.50",.077,.2786667,
"1.55",.08,.288,
"1.60",.083,.2973334,
"1.65",.086,.3066667,
"1.70",.09,.316,
"1.75",.093,.3253334,
"1.80",.096,.3346667,
"1.85",.098,.3436667,
"1.90",.101,.353,
"1.95",.104,.3623334,
"2.00",.107,.3713334,
"2.05",.109,.38,
"2.10",.111,.389,
"2.15",.116,.398,
"2.20",.118,.407,
"2.25",.122,.416,
"2.30",.126,.425,
"2.35",.13,.434,
"2.40",.131,.4426667,
"2.45",.132,.4513333,
"2.50",.134,.4603333,
"2.55",.136,.469,
"2.60",.138,.4776667,
"2.65",.142,.4863333,
"2.70",.146,.4953333,
"2.75",.149,.504,
"2.80",.152,.5126667,
"2.85",.155,.521,
"2.90",.157,.5296667,
"2.95",.16,.5383334,
"3.00",.162,.547,
"3.05",.165,.5556667,
"3.10",.167,.5643333,
"3.15",.169,.573,
"3.20",.171,.5813333,
"3.25",.174,.59,
"3.30",.177,.5983334,
"3.35",.182,.607,
"3.40",.185,.6153333,
"3.45",.188,.624,
"3.50",.191,.6326667,
"3.55",.193,.641,
"3.60",.195,.6493334,
"3.65",.196,.658,
"3.70",.199,.6663333,
"3.75",.202,.6746667,
"3.80",.204,.6833333,
"3.85",.207,.6916667,
"3.90",.21,.7,
"3.95",.213,.7083334,
"4.00",.216,.717,
"4.05",.218,.7253333,
"4.10",.222,.7336667,
"4.15",.225,.742,
"4.20",.227,.7506667,
"4.25",.23,.759,
"4.30",.232,.7673333,
"4.35",.236,.776,
"4.40",.238,.7843333,
"4.45",.241,.7926667,
"4.50",.244,.801,
"4.55",.248,.8093333,
"4.60",.248,.8176666,
"4.65",.251,.8263333,
"4.70",.255,.8346667,
"4.75",.259,.843,
"4.80",.261,.8513333,
"4.85",.263,.8596667,
"4.90",.265,.868,
"4.95",.268,.8763334,
"5.00",.27,.8846667,
"5.05",.273,.8933334,
"5.10",.275,.9016667,
"5.15",.279,.91,
"5.20",.282,.9183334,
"5.25",.285,.9266667,
"5.30",.287,.935,
"5.35",.289,.9433333,
"5.40",.291,.9516667,
"5.45",.294,.9603333,
"5.50",.298,.9683334,
"5.55",.302,.977,
"5.60",.304,.9853333,
"5.65",.305,.9936667,
"5.70",.309,1.002,
"5.75",.313,1.010333,
"5.80",.315,1.018667,
"5.85",.319,1.027,
"5.90",.321,1.035333,
"5.95",.324,1.043667,
"6.00",.326,1.052,
"6.05",.328,1.060333,
"6.10",.329,1.068667,
"6.15",.333,1.077,
"6.20",.335,1.085333,
"6.25",.338,1.093667,
"6.30",.341,1.102,
"6.35",.344,1.110333,
"6.40",.347,1.118667,
"6.45",.35,1.127,
"6.50",.353,1.135333,
"6.55",.355,1.143667,
"6.60",.358,1.152,
"6.65",.36,1.160667,
"6.70",.363,1.168667,
"6.75",.366,1.177,
"6.80",.368,1.185667,
"6.85",.371,1.193667,
"6.90",.373,1.202,
"6.95",.376,1.210333,
"7.00",.379,1.218667,
"7.05",.382,1.227,
"7.10",.385,1.235333,
"7.15",.388,1.243667,
"7.20",.39,1.252,
"7.25",.392,1.260333,
"7.30",.394,1.268667,
"7.35",.398,1.277333,
"7.40",.402,1.285667,
"7.45",.405,1.294,
"7.50",.409,1.302,
"7.55",.411,1.310333,
"7.60",.413,1.319,
"7.65",.416,1.327333,
"7.70",.419,1.335667,
"7.75",.423,1.344,
"7.80",.426,1.352333,
"7.85",.428,1.360667,
"7.90",.431,1.369,
"7.95",.434,1.377333,
"8.00",.437,1.385667,
"8.05",.44,1.394,
"8.10",.442,1.402333,
"8.15",.446,1.410667,
"8.20",.447,1.419,
"8.25",.45,1.427333,
"8.30",.454,1.435667,
"8.35",.457,1.444,
"8.40",.46,1.452333,
"8.45",.463,1.460667,
"8.50",.467,1.468667,
"8.55",.47,1.477333,
"8.60",.472,1.485333,
"8.65",.476,1.494,
"8.70",.478,1.502,
"8.75",.481,1.510333,
"8.80",.483,1.519,
"8.85",.485,1.527,
"8.90",.488,1.535667,
"8.95",.491,1.543667,
"9.00",.495,1.552333,
"9.05",.499,1.560333,
"9.10",.502,1.569,
"9.15",.505,1.577333,
"9.20",.507,1.585667,
"9.25",.51,1.594,
"9.30",.514,1.602333,
"9.35",.518,1.610667,
"9.40",.519,1.619,
"9.45",.521,1.627333,
"9.50",.525,1.635667,
"9.55",.528,1.644,
"9.60",.531,1.652333,
"9.65",.534,1.660667,
"9.70",.536,1.669,
"9.75",.538,1.677,
"9.80",.54,1.685333,
"9.85",.544,1.693667,
"9.90",.547,1.702,
"9.95",.55,1.710333,
"10.00",.552,1.718667,
"10.05",.556,1.727,
"10.10",.559,1.735333,
"10.15",.563,1.743667,
"10.20",.567,1.752,
"10.25",.57,1.760333,
"10.30",.573,1.768667,
"10.35",.576,1.777,
"10.40",.579,1.785333,
"10.45",.583,1.793667,
"10.50",.585,1.802,
"10.55",.588,1.810333,
"10.60",.589,1.818667,
"10.65",.591,1.827,
"10.70",.595,1.835333,
"10.75",.599,1.843667,
"10.80",.602,1.852,
"10.85",.605,1.860333,
"10.90",.607,1.868667,
"10.95",.61,1.877,
"11.00",.613,1.885333,
"11.05",.616,1.893667,
"11.10",.619,1.902,
"11.15",.622,1.910333,
"11.20",.625,1.918667,
"11.25",.627,1.927,
"11.30",.63,1.935333,
"11.35",.633,1.943667,
"11.40",.636,1.952,
"11.45",.638,1.960333,
"11.50",.643,1.968667,
"11.55",.646,1.977,
"11.60",.65,1.985333,
"11.65",.653,1.993667,
"11.70",.656,2.002,
"11.75",.659,2.010333,
"11.80",.662,2.018667,
"11.85",.665,2.027,
"11.90",.668,2.035333,
"11.95",.672,2.043667,
"12.00",.674,2.052,
"12.05",.677,2.060333,
"12.10",.68,2.068667,
"12.15",.684,2.077,
"12.20",.687,2.085333,
"12.25",.69,2.093667,
"12.30",.694,2.102,
"12.35",.697,2.110333,
"12.40",.699,2.118667,
"12.45",.701,2.127,
"12.50",.706,2.135333,
"12.55",.71,2.143667,
"12.60",.714,2.152,
"12.65",.717,2.160333,
"12.70",.72,2.168667,
"12.75",.723,2.177,
"12.80",.725,2.185333,
"12.85",.728,2.193667,
"12.90",.733,2.202,
"12.95",.735,2.210333,
"13.00",.738,2.218667,
"13.05",.74,2.227,
"13.10",.743,2.235333,
"13.15",.747,2.243667,
"13.20",.749,2.252,
"13.25",.754,2.260333,
"13.30",.757,2.268667,
"13.35",.761,2.277,
"13.40",.764,2.285333,
"13.45",.768,2.293667,
"13.50",.772,2.302,
"13.55",.775,2.310333,
"13.60",.779,2.318667,
"13.65",.782,2.327,
"13.70",.785,2.335333,
"13.75",.789,2.343667,
"13.80",.792,2.352,
"13.85",.795,2.360333,
"13.90",.799,2.368667,
"13.95",.802,2.377,
"14.00",.806,2.385333,
"14.05",.809,2.393667,
"14.10",.812,2.402,
"14.15",.816,2.410333,
"14.20",.82,2.418667,
"14.25",.824,2.427,
"14.30",.827,2.435333,
"14.35",.83,2.443667,
"14.40",.832,2.452,
"14.45",.835,2.460333,
"14.50",.838,2.468667,
"14.55",.842,2.477,
"14.60",.845,2.485333,
"14.65",.848,2.493667,
"14.70",.851,2.502,
"14.75",.855,2.510333,
"14.80",.859,2.518667,
"14.85",.862,2.527,
"14.90",.867,2.535333,
"14.95",.871,2.543667,
"15.00",.873,2.552,
"15.05",.876,2.560333,
"15.10",.879,2.568667,
"15.15",.882,2.577,
"15.20",.885,2.585333,
"15.25",.889,2.593667,
"15.30",.894,2.602,
"15.35",.898,2.610333,
"15.40",.902,2.619,
"15.45",.906,2.627333,
"15.50",.909,2.635333,
"15.55",.913,2.643667,
"15.60",.915,2.652,
"15.65",.917,2.660333,
"15.70",.92,2.668667,
"15.75",.923,2.677,
"15.80",.927,2.685333,
"15.85",.931,2.693667,
"15.90",.934,2.702,
"15.95",.937,2.710333,
"16.00",.94,2.718667,
"16.05",.944,2.727,
"16.10",.949,2.735667,
"16.15",.954,2.744,
"16.20",.958,2.752,
"16.25",.961,2.760333,
"16.30",.966,2.768667,
"16.35",.968,2.777,
"16.40",.971,2.785333,
"16.45",.973,2.793667,
"16.50",.976,2.802,
"16.55",.98,2.810333,
"16.60",.985,2.818667,
"16.65",.989,2.827333,
"16.70",.993,2.835333,
"16.75",.997,2.843667,
"16.80",1.001,2.852333,
"16.85",1.004,2.860333,
"16.90",1.007,2.868667,
"16.95",1.012,2.877,
"17.00",1.016,2.885333,
"17.05",1.02,2.893667,
"17.10",1.024,2.902333,
"17.15",1.027,2.910667,
"17.20",1.03,2.918667,
"17.25",1.034,2.927333,
"17.30",1.037,2.935667,
"17.35",1.041,2.944,
"17.40",1.045,2.952,
"17.45",1.048,2.960333,
"17.50",1.052,2.968667,
"17.55",1.054,2.977,
"17.60",1.057,2.985333,
"17.65",1.061,2.993667,
"17.70",1.066,3.002,
"17.75",1.069,3.010333,
"17.80",1.073,3.018667,
"17.85",1.076,3.027,
"17.90",1.08,3.035333,
"17.95",1.085,3.043667,
"18.00",1.09,3.052,
"18.05",1.094,3.060333,
"18.10",1.097,3.068667,
"18.15",1.101,3.077,
"18.20",1.104,3.085333,
"18.25",1.107,3.093667,
"18.30",1.112,3.102,
"18.35",1.115,3.110333,
"18.40",1.119,3.118667,
"18.45",1.122,3.127,
"18.50",1.127,3.135333,
"18.55",1.132,3.143667,
"18.60",1.135,3.152,
"18.65",1.138,3.160333,
"18.70",1.141,3.168667,
"18.75",1.144,3.177,
"18.80",1.149,3.185333,
"18.85",1.153,3.193667,
"18.90",1.157,3.202,
"18.95",1.161,3.210333,
"19.00",1.165,3.218667,
"19.05",1.169,3.227,
"19.10",1.173,3.235333,
"19.15",1.177,3.243667,
"19.20",1.18,3.252,
"19.25",1.185,3.260333,
"19.30",1.189,3.268667,
"19.35",1.193,3.277,
"19.40",1.197,3.285333,
"19.45",1.201,3.293667,
"19.50",1.206,3.302,
"19.55",1.21,3.310333,
"19.60",1.214,3.318667,
"19.65",1.218,3.327,
"19.70",1.221,3.335333,
"19.75",1.225,3.343667,
"19.80",1.228,3.352,
"19.85",1.232,3.360333,
"19.90",1.237,3.368667,
"19.95",1.24,3.377,
"20.00",1.245,3.385333,
"20.05",1.249,3.393667,
"20.10",1.254,3.402,
"20.15",1.259,3.410333,
"20.20",1.263,3.418667,
"20.25",1.267,3.427,
"20.30",1.271,3.435333,
"20.35",1.275,3.443667,
"20.40",1.278,3.452,
"20.45",1.282,3.460333,
"20.50",1.286,3.468667,
"20.55",1.29,3.477,
"20.60",1.294,3.485667,
"20.65",1.296,3.494,
"20.70",1.301,3.502333,
"20.75",1.306,3.510667,
"20.80",1.311,3.519,
"20.85",1.316,3.527,
"20.90",1.321,3.535667,
"20.95",1.324,3.543667,
"21.00",1.329,3.552,
"21.05",1.335,3.560333,
"21.10",1.339,3.568667,
"21.15",1.344,3.577333,
"21.20",1.347,3.585667,
"21.25",1.35,3.594,
"21.30",1.355,3.602333,
"21.35",1.359,3.610667,
"21.40",1.364,3.619,
"21.45",1.368,3.627333,
"21.50",1.374,3.635667,
"21.55",1.379,3.644,
"21.60",1.384,3.652333,
"21.65",1.388,3.660667,
"21.70",1.391,3.669,
"21.75",1.394,3.677333,
"21.80",1.398,3.685667,
"21.85",1.402,3.694,
"21.90",1.407,3.702333,
"21.95",1.413,3.710667,
"22.00",1.418,3.718667,
"22.05",1.423,3.727333,
"22.10",1.427,3.735333,
"22.15",1.431,3.743667,
"22.20",1.434,3.752,
"22.25",1.438,3.760333,
"22.30",1.441,3.768667,
"22.35",1.446,3.777,
"22.40",1.451,3.785333,
"22.45",1.455,3.793667,
"22.50",1.459,3.802,
"22.55",1.464,3.810333,
"22.60",1.467,3.818667,
"22.65",1.471,3.827,
"22.70",1.476,3.835333,
"22.75",1.481,3.843667,
"22.80",1.486,3.852,
"22.85",1.491,3.860333,
"22.90",1.496,3.868667,
"22.95",1.5,3.877,
"23.00",1.505,3.885333,
"23.05",1.51,3.893667,
"23.10",1.513,3.902333,
"23.15",1.518,3.910667,
"23.20",1.523,3.918667,
"23.25",1.527,3.927,
"23.30",1.532,3.935333,
"23.35",1.537,3.944,
"23.40",1.541,3.952,
"23.45",1.546,3.960333,
"23.50",1.551,3.969,
"23.55",1.555,3.977,
"23.60",1.56,3.985667,
"23.65",1.565,3.993667,
"23.70",1.57,4.002,
"23.75",1.574,4.010334,
"23.80",1.579,4.018667,
"23.85",1.582,4.027,
"23.90",1.588,4.035334,
"23.95",1.592,4.043667,
"24.00",1.596,4.052,
"24.05",1.601,4.060333,
"24.10",1.605,4.068667,
"24.15",1.61,4.077,
"24.20",1.614,4.085333,
"24.25",1.618,4.093667,
"24.30",1.624,4.102,
"24.35",1.629,4.110333,
"24.40",1.635,4.118667,
"24.45",1.638,4.127,
"24.50",1.644,4.135334,
"24.55",1.649,4.143667,
"24.60",1.654,4.152,
"24.65",1.659,4.160334,
"24.70",1.664,4.168667,
"24.75",1.669,4.177,
"24.80",1.673,4.185333,
"24.85",1.678,4.193667,
"24.90",1.683,4.202,
"24.95",1.687,4.210333,
"25.00",1.692,4.218667,
"25.05",1.697,4.227,
"25.10",1.701,4.235333,
"25.15",1.706,4.243667,
"25.20",1.71,4.252,
"25.25",1.715,4.260334,
"25.30",1.72,4.268667,
"25.35",1.726,4.277,
"25.40",1.731,4.285334,
"25.45",1.736,4.293667,
"25.50",1.74,4.302,
"25.55",1.744,4.310667,
"25.60",1.75,4.319,
"25.65",1.755,4.327333,
"25.70",1.761,4.335667,
"25.75",1.768,4.344,
"25.80",1.772,4.352334,
"25.85",1.777,4.360667,
"25.90",1.782,4.368667,
"25.95",1.788,4.377334,
"26.00",1.793,4.385334,
"26.05",1.799,4.394,
"26.10",1.803,4.402333,
"26.15",1.808,4.410667,
"26.20",1.813,4.419,
"26.25",1.818,4.427,
"26.30",1.823,4.435667,
"26.35",1.827,4.444,
"26.40",1.832,4.452333,
"26.45",1.836,4.460333,
"26.50",1.841,4.469,
"26.55",1.847,4.477,
"26.60",1.853,4.485667,
"26.65",1.858,4.494,
"26.70",1.864,4.502334,
"26.75",1.869,4.510667,
"26.80",1.874,4.519,
"26.85",1.879,4.527,
"26.90",1.883,4.535334,
"26.95",1.888,4.543667,
"27.00",1.892,4.552,
"27.05",1.898,4.560333,
"27.10",1.903,4.568667,
"27.15",1.908,4.577,
"27.20",1.913,4.585333,
"27.25",1.917,4.593667,
"27.30",1.922,4.602,
"27.35",1.928,4.610333,
"27.40",1.934,4.618667,
"27.45",1.939,4.627,
"27.50",1.944,4.635334,
"27.55",1.949,4.644,
"27.60",1.954,4.652,
"27.65",1.961,4.660667,
"27.70",1.967,4.669,
"27.75",1.973,4.677333,
"27.80",1.979,4.685667,
"27.85",1.983,4.694,
"27.90",1.99,4.702333,
"27.95",1.995,4.710667,
