"Test Name","Test Mode","Test Type","Control","Test Speed 1","Test Speed 2","Test Speed 3","Change Point 1","Change Point 2","Disp. Origin","Break and Limit Action","Sensitivity:","Level:"
"","Single","Tensile","Stroke",10,1,1,"Off","Off","Start","Stop",0,1

"Title","Sub title","Comment"
"","",""

"Shape:","Batch Size:","SubBatch Size:"
"Plate",1,1
"Name:","Thickness","Width","Gauge Length",
"Size Unit:","mm","mm","mm",
" 1 - 1","1.0000","1.0000","100.0000",

"Name",
"Parameter",
"Units",
" 1 - 1",

" 1- 1"
"Time","Force","Stroke",
"sec","N","mm",
"0.00",-.003,0,
"0.05",-.003,9.333333E-03,
"0.10",-.003,1.866667E-02,
"0.15",0,.028,
"0.20",.003,.037,
"0.25",.008,4.633334E-02,
"0.30",.014,5.566667E-02,
"0.35",.02,.065,
"0.40",.028,7.433333E-02,
"0.45",.035,8.366667E-02,
"0.50",.041,9.266666E-02,
"0.55",.052,.102,
"0.60",.061,.1113333,
"0.65",.07,.1206667,
"0.70",.079,.13,
"0.75",.086,.1393333,
"0.80",.094,.1483333,
"0.85",.102,.1576667,
"0.90",.111,.167,
"0.95",.119,.1763333,
"1.00",.126,.1856667,
"1.05",.135,.195,
"1.10",.145,.204,
"1.15",.152,.2133333,
"1.20",.163,.2226667,
"1.25",.171,.232,
"1.30",.179,.2413333,
"1.35",.188,.2503333,
"1.40",.194,.2596667,
"1.45",.202,.269,
"1.50",.211,.2783333,
"1.55",.219,.2876666,
"1.60",.228,.2966667,
"1.65",.237,.306,
"1.70",.246,.3153333,
"1.75",.254,.3246666,
"1.80",.262,.3336667,
"1.85",.271,.343,
"1.90",.279,.3523333,
"1.95",.287,.3613333,
"2.00",.296,.3703333,
"2.05",.303,.3793333,
"2.10",.313,.3883333,
"2.15",.321,.3973333,
"2.20",.328,.4063333,
"2.25",.337,.4153333,
"2.30",.343,.4243333,
"2.35",.35,.4333333,
"2.40",.36,.442,
"2.45",.367,.4506667,
"2.50",.377,.4596667,
"2.55",.386,.4683333,
"2.60",.392,.477,
"2.65",.402,.486,
"2.70",.408,.4946667,
"2.75",.417,.5033333,
"2.80",.426,.512,
"2.85",.434,.5206667,
"2.90",.442,.5293334,
"2.95",.45,.538,
"3.00",.457,.5463333,
"3.05",.464,.555,
"3.10",.471,.5636666,
"3.15",.478,.5723333,
"3.20",.487,.5806667,
"3.25",.495,.5893333,
"3.30",.503,.5976667,
"3.35",.509,.6063333,
"3.40",.516,.615,
"3.45",.524,.6233333,
"3.50",.532,.632,
"3.55",.541,.6403333,
"3.60",.549,.6486667,
"3.65",.556,.6573333,
"3.70",.563,.6656666,
"3.75",.57,.6743333,
"3.80",.577,.6826667,
"3.85",.583,.691,
"3.90",.59,.6996667,
"3.95",.598,.708,
"4.00",.606,.7163333,
"4.05",.614,.725,
"4.10",.622,.7333333,
"4.15",.63,.7416667,
"4.20",.637,.75,
"4.25",.645,.7586666,
"4.30",.653,.767,
"4.35",.66,.7753333,
"4.40",.668,.7836667,
"4.45",.676,.792,
"4.50",.684,.8006666,
"4.55",.691,.809,
"4.60",.698,.8173333,
"4.65",.704,.8256667,
"4.70",.71,.834,
"4.75",.718,.8426667,
"4.80",.726,.851,
"4.85",.733,.8593333,
"4.90",.741,.8676667,
"4.95",.747,.876,
"5.00",.754,.8843333,
"5.05",.761,.8926666,
"5.10",.768,.901,
"5.15",.775,.9093333,
"5.20",.782,.918,
"5.25",.789,.926,
"5.30",.796,.9346666,
"5.35",.802,.943,
"5.40",.808,.9513333,
"5.45",.816,.9596667,
"5.50",.823,.968,
"5.55",.831,.9763333,
"5.60",.84,.9846666,
"5.65",.846,.993,
"5.70",.853,1.001333,
"5.75",.86,1.009667,
"5.80",.866,1.018,
"5.85",.874,1.026333,
"5.90",.881,1.034667,
"5.95",.887,1.043,
"6.00",.893,1.051333,
"6.05",.898,1.059667,
"6.10",.905,1.068,
"6.15",.912,1.076333,
"6.20",.92,1.084667,
"6.25",.928,1.093,
"6.30",.935,1.101333,
"6.35",.94,1.109667,
"6.40",.948,1.118,
"6.45",.954,1.126333,
"6.50",.96,1.134667,
"6.55",.968,1.143,
"6.60",.974,1.151333,
"6.65",.98,1.159667,
"6.70",.987,1.168333,
"6.75",.993,1.176667,
"6.80",1,1.185,
"6.85",1.007,1.193333,
"6.90",1.014,1.201333,
"6.95",1.022,1.209667,
"7.00",1.028,1.218333,
"7.05",1.033,1.226667,
"7.10",1.039,1.235,
"7.15",1.046,1.243333,
"7.20",1.052,1.251667,
"7.25",1.059,1.26,
"7.30",1.066,1.268,
"7.35",1.072,1.276667,
"7.40",1.079,1.284667,
"7.45",1.085,1.293,
"7.50",1.092,1.301667,
"7.55",1.098,1.309667,
"7.60",1.105,1.318,
"7.65",1.111,1.326667,
"7.70",1.117,1.334667,
"7.75",1.123,1.343,
"7.80",1.128,1.351333,
"7.85",1.133,1.359667,
"7.90",1.139,1.368,
"7.95",1.145,1.376333,
"8.00",1.151,1.385,
"8.05",1.159,1.393,
"8.10",1.166,1.401667,
"8.15",1.172,1.41,
"8.20",1.178,1.418333,
"8.25",1.184,1.426667,
"8.30",1.191,1.435,
"8.35",1.197,1.443333,
"8.40",1.203,1.451667,
"8.45",1.209,1.46,
"8.50",1.214,1.468333,
"8.55",1.22,1.476667,
"8.60",1.225,1.485,
"8.65",1.231,1.493333,
"8.70",1.237,1.501667,
"8.75",1.242,1.51,
"8.80",1.249,1.518333,
"8.85",1.256,1.526667,
"8.90",1.261,1.535,
"8.95",1.267,1.543333,
"9.00",1.274,1.551667,
"9.05",1.28,1.56,
"9.10",1.286,1.568333,
"9.15",1.293,1.576667,
"9.20",1.298,1.585,
"9.25",1.303,1.593333,
"9.30",1.309,1.601667,
"9.35",1.314,1.61,
"9.40",1.32,1.618333,
"9.45",1.327,1.626667,
"9.50",1.334,1.635,
