"Test Name","Test Mode","Test Type","Control","Test Speed 1","Test Speed 2","Test Speed 3","Change Point 1","Change Point 2","Disp. Origin","Break and Limit Action","Sensitivity:","Level:"
"","Single","Tensile","Stroke",10,1,1,"Off","Off","Start","Stop",0,1

"Title","Sub title","Comment"
"","",""

"Shape:","Batch Size:","SubBatch Size:"
"Plate",1,1
"Name:","Thickness","Width","Gauge Length",
"Size Unit:","mm","mm","mm",
" 1 - 1","1.0000","1.0000","100.0000",

"Name",
"Parameter",
"Units",
" 1 - 1",

" 1- 1"
"Time","Force","Stroke",
"sec","N","mm",
"0.00",-.002,0,
"0.05",-.002,9.333333E-03,
"0.10",-.002,1.866667E-02,
"0.15",-.001,.028,
"0.20",0,3.733333E-02,
"0.25",.002,4.633333E-02,
"0.30",.006,5.566667E-02,
"0.35",.009,.065,
"0.40",.012,7.433333E-02,
"0.45",.017,8.366667E-02,
"0.50",.019,9.266666E-02,
"0.55",.022,.102,
"0.60",.023,.1113333,
"0.65",.026,.1206667,
"0.70",.031,.13,
"0.75",.035,.1393333,
"0.80",.037,.1483333,
"0.85",.039,.1576667,
"0.90",.042,.167,
"0.95",.045,.1763333,
"1.00",.048,.1856667,
"1.05",.052,.195,
"1.10",.055,.204,
"1.15",.058,.2133333,
"1.20",.06,.2226667,
"1.25",.062,.232,
"1.30",.065,.241,
"1.35",.069,.2503333,
"1.40",.07,.2596667,
"1.45",.073,.269,
"1.50",.078,.2783333,
"1.55",.082,.2873333,
"1.60",.085,.2966667,
"1.65",.087,.306,
"1.70",.089,.3153333,
"1.75",.092,.3246667,
"1.80",.095,.334,
"1.85",.099,.343,
"1.90",.105,.3523333,
"1.95",.107,.3616667,
"2.00",.108,.371,
"2.05",.111,.3796667,
"2.10",.114,.3886667,
"2.15",.117,.3976667,
"2.20",.12,.4066667,
"2.25",.124,.4156667,
"2.30",.127,.4246667,
"2.35",.129,.4336667,
"2.40",.131,.4423333,
"2.45",.133,.451,
"2.50",.136,.46,
"2.55",.139,.4686667,
"2.60",.141,.4773333,
"2.65",.145,.486,
"2.70",.149,.495,
"2.75",.153,.5036666,
"2.80",.153,.5123333,
"2.85",.157,.521,
"2.90",.162,.5296667,
"2.95",.164,.538,
"3.00",.165,.5466666,
"3.05",.169,.5553333,
"3.10",.172,.564,
"3.15",.175,.5726666,
"3.20",.176,.581,
"3.25",.18,.5896667,
"3.30",.183,.5983333,
"3.35",.185,.6066666,
"3.40",.188,.6153333,
"3.45",.191,.6236666,
"3.50",.194,.6323333,
"3.55",.198,.6406667,
"3.60",.201,.6493333,
"3.65",.203,.6576666,
"3.70",.205,.6663333,
"3.75",.209,.6746666,
"3.80",.211,.6833333,
"3.85",.214,.6916667,
"3.90",.217,.7003333,
"3.95",.221,.7086666,
"4.00",.221,.7169999,
"4.05",.224,.7256666,
"4.10",.227,.734,
"4.15",.23,.7423333,
"4.20",.231,.7506666,
"4.25",.234,.759,
"4.30",.238,.7676666,
"4.35",.242,.776,
"4.40",.245,.7843333,
"4.45",.248,.7926667,
"4.50",.249,.801,
"4.55",.252,.8093333,
"4.60",.254,.818,
"4.65",.258,.8263333,
"4.70",.262,.8346667,
"4.75",.266,.843,
"4.80",.267,.8513333,
"4.85",.268,.8596666,
"4.90",.273,.868,
"4.95",.277,.8763333,
"5.00",.28,.8846666,
"5.05",.283,.8933333,
"5.10",.286,.9016666,
"5.15",.29,.91,
"5.20",.291,.9183333,
"5.25",.294,.9266666,
"5.30",.298,.935,
"5.35",.3,.9433333,
"5.40",.301,.9516667,
"5.45",.304,.96,
"5.50",.306,.9683333,
"5.55",.309,.9766666,
"5.60",.311,.985,
"5.65",.314,.9933333,
"5.70",.319,1.001667,
"5.75",.323,1.01,
"5.80",.326,1.018667,
"5.85",.329,1.027,
"5.90",.332,1.035333,
"5.95",.336,1.043667,
"6.00",.337,1.052,
"6.05",.34,1.060333,
"6.10",.344,1.068667,
"6.15",.348,1.077,
"6.20",.349,1.085333,
"6.25",.353,1.093667,
"6.30",.356,1.102,
"6.35",.359,1.110333,
"6.40",.36,1.118667,
"6.45",.362,1.127,
"6.50",.365,1.135333,
"6.55",.369,1.143667,
"6.60",.371,1.152,
"6.65",.375,1.160333,
"6.70",.378,1.168667,
"6.75",.381,1.177,
"6.80",.382,1.185333,
"6.85",.386,1.193667,
"6.90",.391,1.202,
"6.95",.394,1.210333,
"7.00",.397,1.218667,
"7.05",.399,1.227,
"7.10",.402,1.235333,
"7.15",.405,1.243667,
"7.20",.408,1.252,
"7.25",.41,1.260333,
"7.30",.414,1.268667,
"7.35",.417,1.277,
"7.40",.419,1.285333,
"7.45",.421,1.293667,
"7.50",.425,1.302,
"7.55",.427,1.310333,
"7.60",.429,1.318667,
"7.65",.432,1.327,
"7.70",.434,1.335333,
"7.75",.438,1.343667,
"7.80",.44,1.352,
"7.85",.443,1.360333,
"7.90",.448,1.369,
"7.95",.453,1.377333,
"8.00",.456,1.385333,
"8.05",.459,1.394,
"8.10",.462,1.402,
"8.15",.465,1.410333,
"8.20",.468,1.419,
"8.25",.471,1.427,
"8.30",.475,1.435667,
"8.35",.478,1.443667,
"8.40",.478,1.452,
"8.45",.481,1.460333,
"8.50",.486,1.468667,
"8.55",.489,1.477333,
"8.60",.491,1.485667,
"8.65",.494,1.494,
"8.70",.497,1.502,
"8.75",.501,1.510333,
"8.80",.502,1.518667,
"8.85",.507,1.527333,
"8.90",.511,1.535667,
"8.95",.515,1.544,
"9.00",.517,1.552333,
"9.05",.519,1.560333,
"9.10",.522,1.568667,
"9.15",.525,1.577,
"9.20",.527,1.585333,
"9.25",.531,1.593667,
"9.30",.534,1.602333,
"9.35",.537,1.610667,
"9.40",.54,1.619,
"9.45",.543,1.627,
"9.50",.546,1.635667,
"9.55",.55,1.644,
"9.60",.552,1.652333,
"9.65",.554,1.660667,
"9.70",.557,1.669,
"9.75",.559,1.677,
"9.80",.562,1.685667,
"9.85",.565,1.694,
"9.90",.57,1.702333,
"9.95",.574,1.710667,
"10.00",.578,1.719,
"10.05",.581,1.727333,
"10.10",.584,1.735667,
"10.15",.586,1.744,
"10.20",.589,1.752333,
